fasttext_model,dataset,model,F1_macro
pretrained,zeerak_racism,zeerak_racism,0.8392703516194191
pretrained,davidson_offensive,zeerak_racism,0.19142938205910395
pretrained,toxicity_insult,zeerak_racism,0.4936298136576171
pretrained,toxicity_severetoxic,zeerak_racism,0.5021555100318338
pretrained,toxicity_obscene,zeerak_racism,0.4900956751798438
pretrained,toxicity_toxic,zeerak_racism,0.4816890899957898
pretrained,zeerak_hate,zeerak_racism,0.6014415610971441
pretrained,trac_overt,zeerak_racism,0.4615409228898603
pretrained,ami,zeerak_racism,0.35587761674718194
pretrained,stormfront_sentence,zeerak_racism,0.4946629275232152
pretrained,zeerak_sexism,zeerak_racism,0.4130108944158233
pretrained,davidson_toxicity,zeerak_racism,0.14929891133030124
pretrained,hateval_hate,zeerak_racism,0.3685650641081859
pretrained,davidson_hate,zeerak_racism,0.4840388619014573
pretrained,hateval_aggression,zeerak_racism,0.4501986841248127
pretrained,trac_aggr,zeerak_racism,0.3169987906830012
pretrained,trac_covert,zeerak_racism,0.4098580801785506
pretrained,offenseval,zeerak_racism,0.4272890484739677
pretrained,toxicity_threat,zeerak_racism,0.502119488060227
pretrained,stormfront_post,zeerak_racism,0.4612873134328359
pretrained,toxicity_identityhate,zeerak_racism,0.5029872930763523
pretrained,zeerak_racism,davidson_offensive,0.3728470030378305
pretrained,davidson_offensive,davidson_offensive,0.8154272978613453
pretrained,toxicity_insult,davidson_offensive,0.4063214928617331
pretrained,toxicity_severetoxic,davidson_offensive,0.3531183553131868
pretrained,toxicity_obscene,davidson_offensive,0.4142429490406741
pretrained,toxicity_toxic,davidson_offensive,0.456213203845683
pretrained,zeerak_hate,davidson_offensive,0.5006047366661892
pretrained,trac_overt,davidson_offensive,0.47265625
pretrained,ami,davidson_offensive,0.48909675098873
pretrained,stormfront_sentence,davidson_offensive,0.3779684630884224
pretrained,zeerak_sexism,davidson_offensive,0.4963587504765235
pretrained,davidson_toxicity,davidson_offensive,0.8298292413942111
pretrained,hateval_hate,davidson_offensive,0.5264843414478367
pretrained,davidson_hate,davidson_offensive,0.2083010378834854
pretrained,hateval_aggression,davidson_offensive,0.4460006224712108
pretrained,trac_aggr,davidson_offensive,0.5047660404872191
pretrained,trac_covert,davidson_offensive,0.4966290594776113
pretrained,offenseval,davidson_offensive,0.5763612217795484
pretrained,toxicity_threat,davidson_offensive,0.3392313654243822
pretrained,stormfront_post,davidson_offensive,0.4208551825289182
pretrained,toxicity_identityhate,davidson_offensive,0.3468059785892019
pretrained,zeerak_racism,toxicity_insult,0.4981253787184674
pretrained,davidson_offensive,toxicity_insult,0.4861430494390054
pretrained,toxicity_insult,toxicity_insult,0.8028735413760066
pretrained,toxicity_severetoxic,toxicity_insult,0.6769820250060539
pretrained,toxicity_obscene,toxicity_insult,0.7961024086618536
pretrained,toxicity_toxic,toxicity_insult,0.731583980511959
pretrained,zeerak_hate,toxicity_insult,0.4466647178677231
pretrained,trac_overt,toxicity_insult,0.47597240680712105
pretrained,ami,toxicity_insult,0.6602718854395618
pretrained,stormfront_sentence,toxicity_insult,0.4870714618432929
pretrained,zeerak_sexism,toxicity_insult,0.4829062442664057
pretrained,davidson_toxicity,toxicity_insult,0.464808829742115
pretrained,hateval_hate,toxicity_insult,0.5411002122411519
pretrained,davidson_hate,toxicity_insult,0.4664726807054026
pretrained,hateval_aggression,toxicity_insult,0.5995854143631842
pretrained,trac_aggr,toxicity_insult,0.31418157085832954
pretrained,trac_covert,toxicity_insult,0.3952113257578864
pretrained,offenseval,toxicity_insult,0.6062669214843128
pretrained,toxicity_threat,toxicity_insult,0.529789177673153
pretrained,stormfront_post,toxicity_insult,0.44866279979701307
pretrained,toxicity_identityhate,toxicity_insult,0.6045736585296292
pretrained,zeerak_racism,toxicity_severetoxic,0.46835045063927894
pretrained,davidson_offensive,toxicity_severetoxic,0.19988734481270595
pretrained,toxicity_insult,toxicity_severetoxic,0.5726525110338672
pretrained,toxicity_severetoxic,toxicity_severetoxic,0.6742284842810475
pretrained,toxicity_obscene,toxicity_severetoxic,0.5703299912337125
pretrained,toxicity_toxic,toxicity_severetoxic,0.5279966902210599
pretrained,zeerak_hate,toxicity_severetoxic,0.4067036097697809
pretrained,trac_overt,toxicity_severetoxic,0.4327850255246739
pretrained,ami,toxicity_severetoxic,0.40580553425481
pretrained,stormfront_sentence,toxicity_severetoxic,0.4730423620025674
pretrained,zeerak_sexism,toxicity_severetoxic,0.4468752960535581
pretrained,davidson_toxicity,toxicity_severetoxic,0.1594283717035988
pretrained,hateval_hate,toxicity_severetoxic,0.4119852740659939
pretrained,davidson_hate,toxicity_severetoxic,0.500375171942471
pretrained,hateval_aggression,toxicity_severetoxic,0.5069356903264669
pretrained,trac_aggr,toxicity_severetoxic,0.29128277817150955
pretrained,trac_covert,toxicity_severetoxic,0.3932038834951456
pretrained,offenseval,toxicity_severetoxic,0.44496336996337
pretrained,toxicity_threat,toxicity_severetoxic,0.5633529082774049
pretrained,stormfront_post,toxicity_severetoxic,0.4430003713330858
pretrained,toxicity_identityhate,toxicity_severetoxic,0.5881628104926281
pretrained,zeerak_racism,toxicity_obscene,0.4739057167978502
pretrained,davidson_offensive,toxicity_obscene,0.5737106941608433
pretrained,toxicity_insult,toxicity_obscene,0.8079584476114535
pretrained,toxicity_severetoxic,toxicity_obscene,0.6825640379353686
pretrained,toxicity_obscene,toxicity_obscene,0.8596976888449089
pretrained,toxicity_toxic,toxicity_obscene,0.7575585921869985
pretrained,zeerak_hate,toxicity_obscene,0.4428266664743255
pretrained,trac_overt,toxicity_obscene,0.449455433963245
pretrained,ami,toxicity_obscene,0.6725714285714286
pretrained,stormfront_sentence,toxicity_obscene,0.4756191259817818
pretrained,zeerak_sexism,toxicity_obscene,0.4923664912338052
pretrained,davidson_toxicity,toxicity_obscene,0.552312845550579
pretrained,hateval_hate,toxicity_obscene,0.5442205180032895
pretrained,davidson_hate,toxicity_obscene,0.421016727378975
pretrained,hateval_aggression,toxicity_obscene,0.590625
pretrained,trac_aggr,toxicity_obscene,0.30163997680636884
pretrained,trac_covert,toxicity_obscene,0.39652933537953017
pretrained,offenseval,toxicity_obscene,0.7013108614232211
pretrained,toxicity_threat,toxicity_obscene,0.5261916723684051
pretrained,stormfront_post,toxicity_obscene,0.45221981399187106
pretrained,toxicity_identityhate,toxicity_obscene,0.5943896896956236
pretrained,zeerak_racism,toxicity_toxic,0.5096887317067361
pretrained,davidson_offensive,toxicity_toxic,0.5884866842286633
pretrained,toxicity_insult,toxicity_toxic,0.8050382604977532
pretrained,toxicity_severetoxic,toxicity_toxic,0.6037890166638087
pretrained,toxicity_obscene,toxicity_toxic,0.8244681008371226
pretrained,toxicity_toxic,toxicity_toxic,0.8490887893430974
pretrained,zeerak_hate,toxicity_toxic,0.499719127250332
pretrained,trac_overt,toxicity_toxic,0.5658735795454545
pretrained,ami,toxicity_toxic,0.6682963331108945
pretrained,stormfront_sentence,toxicity_toxic,0.5316135808725296
pretrained,zeerak_sexism,toxicity_toxic,0.5284220311410645
pretrained,davidson_toxicity,toxicity_toxic,0.5860188018253566
pretrained,hateval_hate,toxicity_toxic,0.575754361775468
pretrained,davidson_hate,toxicity_toxic,0.4129973182847023
pretrained,hateval_aggression,toxicity_toxic,0.6003002622420229
pretrained,trac_aggr,toxicity_toxic,0.37696240320166585
pretrained,trac_covert,toxicity_toxic,0.40968052142322897
pretrained,offenseval,toxicity_toxic,0.7364976490024147
pretrained,toxicity_threat,toxicity_toxic,0.5122749203102807
pretrained,stormfront_post,toxicity_toxic,0.5345755957981106
pretrained,toxicity_identityhate,toxicity_toxic,0.5716532505454653
pretrained,zeerak_racism,zeerak_hate,0.6549244342155734
pretrained,davidson_offensive,zeerak_hate,0.5568890326901909
pretrained,toxicity_insult,zeerak_hate,0.5649183919717862
pretrained,toxicity_severetoxic,zeerak_hate,0.5298235948121761
pretrained,toxicity_obscene,zeerak_hate,0.5595695465111399
pretrained,toxicity_toxic,zeerak_hate,0.5511780318021632
pretrained,zeerak_hate,zeerak_hate,0.8025687615714225
pretrained,trac_overt,zeerak_hate,0.5372361853997711
pretrained,ami,zeerak_hate,0.6596692961230732
pretrained,stormfront_sentence,zeerak_hate,0.5673655397196375
pretrained,zeerak_sexism,zeerak_hate,0.7055051904791279
pretrained,davidson_toxicity,zeerak_hate,0.5114466790060951
pretrained,hateval_hate,zeerak_hate,0.5153097420471637
pretrained,davidson_hate,zeerak_hate,0.4014112591955201
pretrained,hateval_aggression,zeerak_hate,0.5393990929705216
pretrained,trac_aggr,zeerak_hate,0.39106581585339256
pretrained,trac_covert,zeerak_hate,0.4440775665409077
pretrained,offenseval,zeerak_hate,0.4732056982125034
pretrained,toxicity_threat,zeerak_hate,0.4959983315797649
pretrained,stormfront_post,zeerak_hate,0.5721187025534852
pretrained,toxicity_identityhate,zeerak_hate,0.5218229113300655
pretrained,zeerak_racism,ami,0.4787210823213411
pretrained,davidson_offensive,ami,0.6381280140379341
pretrained,toxicity_insult,ami,0.6387440104724337
pretrained,toxicity_severetoxic,ami,0.5770669339870811
pretrained,toxicity_obscene,ami,0.642971028712374
pretrained,toxicity_toxic,ami,0.6242797198128576
pretrained,zeerak_hate,ami,0.4998200644437204
pretrained,trac_overt,ami,0.4864620552873037
pretrained,ami,ami,0.7821995444834831
pretrained,stormfront_sentence,ami,0.5293711065333278
pretrained,zeerak_sexism,ami,0.5570806103506404
pretrained,davidson_toxicity,ami,0.5967807475285607
pretrained,hateval_hate,ami,0.5772498097624144
pretrained,davidson_hate,ami,0.36164110029731394
pretrained,hateval_aggression,ami,0.5970700631539658
pretrained,trac_aggr,ami,0.36239213298097306
pretrained,trac_covert,ami,0.4492864668135236
pretrained,offenseval,ami,0.6152868318122555
pretrained,toxicity_threat,ami,0.5084947727124992
pretrained,stormfront_post,ami,0.5560587037710457
pretrained,toxicity_identityhate,ami,0.5399233789084419
pretrained,zeerak_racism,stormfront_sentence,0.5458561175565465
pretrained,davidson_offensive,stormfront_sentence,0.2448825874831508
pretrained,toxicity_insult,stormfront_sentence,0.5269912508897175
pretrained,toxicity_severetoxic,stormfront_sentence,0.5417507119034579
pretrained,toxicity_obscene,stormfront_sentence,0.5231309474350605
pretrained,toxicity_toxic,stormfront_sentence,0.505642521899176
pretrained,zeerak_hate,stormfront_sentence,0.4428857716800365
pretrained,trac_overt,stormfront_sentence,0.4818031122779277
pretrained,ami,stormfront_sentence,0.4409891661789258
pretrained,stormfront_sentence,stormfront_sentence,0.6253013915679251
pretrained,zeerak_sexism,stormfront_sentence,0.4474376439815424
pretrained,davidson_toxicity,stormfront_sentence,0.21041081660528524
pretrained,hateval_hate,stormfront_sentence,0.4427863942028041
pretrained,davidson_hate,stormfront_sentence,0.5298858397389246
pretrained,hateval_aggression,stormfront_sentence,0.5206104664525831
pretrained,trac_aggr,stormfront_sentence,0.3255617062845978
pretrained,trac_covert,stormfront_sentence,0.4066840429073096
pretrained,offenseval,stormfront_sentence,0.4653171738009282
pretrained,toxicity_threat,stormfront_sentence,0.5264672559012472
pretrained,stormfront_post,stormfront_sentence,0.8919719035010297
pretrained,toxicity_identityhate,stormfront_sentence,0.5665484447945291
pretrained,zeerak_racism,zeerak_sexism,0.4273599323340612
pretrained,davidson_offensive,zeerak_sexism,0.5252987115022456
pretrained,toxicity_insult,zeerak_sexism,0.5574039291193745
pretrained,toxicity_severetoxic,zeerak_sexism,0.5850162209415914
pretrained,toxicity_obscene,zeerak_sexism,0.5512975254426388
pretrained,toxicity_toxic,zeerak_sexism,0.5238574335295114
pretrained,zeerak_hate,zeerak_sexism,0.6856066639805853
pretrained,trac_overt,zeerak_sexism,0.4462086250544511
pretrained,ami,zeerak_sexism,0.6377595979985303
pretrained,stormfront_sentence,zeerak_sexism,0.4839190542257663
pretrained,zeerak_sexism,zeerak_sexism,0.8139253645221438
pretrained,davidson_toxicity,zeerak_sexism,0.4745720578219519
pretrained,hateval_hate,zeerak_sexism,0.4828829214221098
pretrained,davidson_hate,zeerak_sexism,0.4132854550017382
pretrained,hateval_aggression,zeerak_sexism,0.5432982704263531
pretrained,trac_aggr,zeerak_sexism,0.3067747706088848
pretrained,trac_covert,zeerak_sexism,0.40667903525046384
pretrained,offenseval,zeerak_sexism,0.4910115945112222
pretrained,toxicity_threat,zeerak_sexism,0.5123738518018568
pretrained,stormfront_post,zeerak_sexism,0.4554671102134569
pretrained,toxicity_identityhate,zeerak_sexism,0.5405401850953597
pretrained,zeerak_racism,davidson_toxicity,0.3212427700630053
pretrained,davidson_offensive,davidson_toxicity,0.8076440586288369
pretrained,toxicity_insult,davidson_toxicity,0.39694003724712396
pretrained,toxicity_severetoxic,davidson_toxicity,0.3324307648016266
pretrained,toxicity_obscene,davidson_toxicity,0.4030142158970045
pretrained,toxicity_toxic,davidson_toxicity,0.4588360617226322
pretrained,zeerak_hate,davidson_toxicity,0.4598569361264259
pretrained,trac_overt,davidson_toxicity,0.4691485439105872
pretrained,ami,davidson_toxicity,0.4179329564596213
pretrained,stormfront_sentence,davidson_toxicity,0.2496446672080195
pretrained,zeerak_sexism,davidson_toxicity,0.4270281991910807
pretrained,davidson_toxicity,davidson_toxicity,0.8731189844575684
pretrained,hateval_hate,davidson_toxicity,0.5251493653302337
pretrained,davidson_hate,davidson_toxicity,0.19995550128871573
pretrained,hateval_aggression,davidson_toxicity,0.41668286992028
pretrained,trac_aggr,davidson_toxicity,0.5320438541759516
pretrained,trac_covert,davidson_toxicity,0.4865060345895893
pretrained,offenseval,davidson_toxicity,0.5346322941646684
pretrained,toxicity_threat,davidson_toxicity,0.3179943027900121
pretrained,stormfront_post,davidson_toxicity,0.3465504978662873
pretrained,toxicity_identityhate,davidson_toxicity,0.3288473890313729
pretrained,zeerak_racism,hateval_hate,0.5256345637679566
pretrained,davidson_offensive,hateval_hate,0.6420330346160604
pretrained,toxicity_insult,hateval_hate,0.5957924918474224
pretrained,toxicity_severetoxic,hateval_hate,0.5280383821811221
pretrained,toxicity_obscene,hateval_hate,0.5961647418103133
pretrained,toxicity_toxic,hateval_hate,0.6125784467463612
pretrained,zeerak_hate,hateval_hate,0.5305227284412161
pretrained,trac_overt,hateval_hate,0.5211128425373418
pretrained,ami,hateval_hate,0.9949368655259612
pretrained,stormfront_sentence,hateval_hate,0.5244150115999112
pretrained,zeerak_sexism,hateval_hate,0.5405229733300985
pretrained,davidson_toxicity,hateval_hate,0.6040478198474634
pretrained,hateval_hate,hateval_hate,0.7064088501421062
pretrained,davidson_hate,hateval_hate,0.3509653572757504
pretrained,hateval_aggression,hateval_hate,0.6056016070297202
pretrained,trac_aggr,hateval_hate,0.4335831277560833
pretrained,trac_covert,hateval_hate,0.488298464039704
pretrained,offenseval,hateval_hate,0.5699754901960784
pretrained,toxicity_threat,hateval_hate,0.4899667576772644
pretrained,stormfront_post,hateval_hate,0.5440867075946748
pretrained,toxicity_identityhate,hateval_hate,0.5130754815869343
pretrained,zeerak_racism,davidson_hate,0.4766678367321017
pretrained,davidson_offensive,davidson_hate,0.1958436166589952
pretrained,toxicity_insult,davidson_hate,0.5219145150556183
pretrained,toxicity_severetoxic,davidson_hate,0.5342102897829192
pretrained,toxicity_obscene,davidson_hate,0.5137814487725817
pretrained,toxicity_toxic,davidson_hate,0.4979377465449706
pretrained,zeerak_hate,davidson_hate,0.40985366759923053
pretrained,trac_overt,davidson_hate,0.4323557237464522
pretrained,ami,davidson_hate,0.3589107042846532
pretrained,stormfront_sentence,davidson_hate,0.4813481158596293
pretrained,zeerak_sexism,davidson_hate,0.4464283498685297
pretrained,davidson_toxicity,davidson_hate,0.17327600531807466
pretrained,hateval_hate,davidson_hate,0.368150037792895
pretrained,davidson_hate,davidson_hate,0.6142191505038241
pretrained,hateval_aggression,davidson_hate,0.4523387805588282
pretrained,trac_aggr,davidson_hate,0.29301578370635706
pretrained,trac_covert,davidson_hate,0.3961500267359255
pretrained,offenseval,davidson_hate,0.4313725490196078
pretrained,toxicity_threat,davidson_hate,0.5317580023462376
pretrained,stormfront_post,davidson_hate,0.4493464501679463
pretrained,toxicity_identityhate,davidson_hate,0.5817920574597315
pretrained,zeerak_racism,hateval_aggression,0.4773542143630467
pretrained,davidson_offensive,hateval_aggression,0.22164838800836706
pretrained,toxicity_insult,hateval_aggression,0.5632300097377898
